,model,BIC,integration,comparison,gb_att,gb_alt,leak,inhibition
83,sb_int-additive_comp-vsmean_gbatt-true_gbalt-false_lk-none_inh-none,409.6861,$+$,comparative,True,False,None,None
84,sb_int-additive_comp-vsmean_gbatt-true_gbalt-true_lk-free_inh-distance-dependent,258.6846,$+$,comparative,True,True,Constant,Distance
85,sb_int-additive_comp-vsmean_gbatt-true_gbalt-true_lk-free_inh-free,257.3221,$+$,comparative,True,True,Constant,Constant
86,sb_int-additive_comp-vsmean_gbatt-true_gbalt-true_lk-free_inh-gaze-dependent,257.1212,$+$,comparative,True,True,Constant,Gaze
87,sb_int-additive_comp-vsmean_gbatt-true_gbalt-true_lk-free_inh-none,251.9052,$+$,comparative,True,True,Constant,None
88,sb_int-additive_comp-vsmean_gbatt-true_gbalt-true_lk-gaze-dependent_inh-distance-dependent,274.2074,$+$,comparative,True,True,Gaze,Distance
89,sb_int-additive_comp-vsmean_gbatt-true_gbalt-true_lk-gaze-dependent_inh-free,264.7502,$+$,comparative,True,True,Gaze,Constant
90,sb_int-additive_comp-vsmean_gbatt-true_gbalt-true_lk-gaze-dependent_inh-gaze-dependent,264.8376,$+$,comparative,True,True,Gaze,Gaze
91,sb_int-additive_comp-vsmean_gbatt-true_gbalt-true_lk-gaze-dependent_inh-none,259.4526,$+$,comparative,True,True,Gaze,None
92,sb_int-additive_comp-vsmean_gbatt-true_gbalt-true_lk-none_inh-distance-dependent,397.2937,$+$,comparative,True,True,None,Distance
93,sb_int-additive_comp-vsmean_gbatt-true_gbalt-true_lk-none_inh-free,357.9456,$+$,comparative,True,True,None,Constant
94,sb_int-additive_comp-vsmean_gbatt-true_gbalt-true_lk-none_inh-gaze-dependent,357.9456,$+$,comparative,True,True,None,Gaze
95,sb_int-additive_comp-vsmean_gbatt-true_gbalt-true_lk-none_inh-none,352.5295,$+$,comparative,True,True,None,None
96,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-false_lk-free_inh-distance-dependent,385.0478,$\times$,independent,False,False,Constant,Distance
97,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-false_lk-free_inh-free,366.5045,$\times$,independent,False,False,Constant,Constant
98,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-false_lk-free_inh-gaze-dependent,235.9443,$\times$,independent,False,False,Constant,Gaze
99,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-false_lk-free_inh-none,361.11,$\times$,independent,False,False,Constant,None
100,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-false_lk-gaze-dependent_inh-distance-dependent,311.2644,$\times$,independent,False,False,Gaze,Distance
101,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-false_lk-gaze-dependent_inh-free,258.3857,$\times$,independent,False,False,Gaze,Constant
