subject,effect,target_alternative,dwell_A,dwell_B,dwell_C,dwell_p,dwell_m,dwell_target,dwell_competitor,dwell_decoy
30,attraction,B,0.3654,0.3631,0.2715,0.5027,0.4973,0.3631,0.3654,0.2715
30,compromise,A,0.3628,0.3306,0.3066,0.4923,0.5077,0.3628,0.3306,0.3066
30,compromise,B,0.3415,0.3618,0.2967,0.4897,0.5103,0.3618,0.3415,0.2967
31,attraction,A,0.4004,0.2983,0.3013,0.4513,0.5487,0.4004,0.2983,0.3013
31,attraction,B,0.3799,0.3456,0.2745,0.4773,0.5227,0.3456,0.3799,0.2745
31,compromise,A,0.342,0.2992,0.3588,0.4753,0.5247,0.342,0.2992,0.3588
31,compromise,B,0.4053,0.3506,0.2441,0.4653,0.5347,0.3506,0.4053,0.2441
32,attraction,A,0.3423,0.3224,0.3353,0.51,0.49,0.3423,0.3224,0.3353
32,attraction,B,0.3034,0.3323,0.3644,0.5092,0.4908,0.3323,0.3034,0.3644
32,compromise,A,0.3516,0.3509,0.2975,0.4791,0.5209,0.3516,0.3509,0.2975
32,compromise,B,0.3366,0.3401,0.3233,0.5325,0.4675,0.3401,0.3366,0.3233
33,attraction,A,0.3595,0.3001,0.3403,0.5078,0.4922,0.3595,0.3001,0.3403
33,attraction,B,0.3209,0.3679,0.3111,0.5144,0.4856,0.3679,0.3209,0.3111
33,compromise,A,0.3883,0.3097,0.302,0.4739,0.5261,0.3883,0.3097,0.302
33,compromise,B,0.3117,0.3512,0.3371,0.5006,0.4994,0.3512,0.3117,0.3371
34,attraction,A,0.3441,0.3666,0.2893,0.5019,0.4981,0.3441,0.3666,0.2893
34,attraction,B,0.3283,0.3618,0.3099,0.4956,0.5044,0.3618,0.3283,0.3099
34,compromise,A,0.3563,0.3932,0.2505,0.5334,0.4666,0.3563,0.3932,0.2505
34,compromise,B,0.2911,0.3327,0.3762,0.5337,0.4663,0.3327,0.2911,0.3762
35,attraction,A,0.3534,0.3391,0.3075,0.5003,0.4997,0.3534,0.3391,0.3075
35,attraction,B,0.2977,0.3699,0.3324,0.4882,0.5118,0.3699,0.2977,0.3324
35,compromise,A,0.3343,0.3761,0.2896,0.4602,0.5398,0.3343,0.3761,0.2896
35,compromise,B,0.3466,0.391,0.2624,0.472,0.528,0.391,0.3466,0.2624
36,attraction,A,0.3272,0.4501,0.2228,0.5066,0.4934,0.3272,0.4501,0.2228
36,attraction,B,0.3481,0.3685,0.2834,0.5082,0.4918,0.3685,0.3481,0.2834
36,compromise,A,0.3432,0.4401,0.2167,0.4718,0.5282,0.3432,0.4401,0.2167
36,compromise,B,0.3256,0.3985,0.2759,0.4649,0.5351,0.3985,0.3256,0.2759
37,attraction,A,0.3836,0.3759,0.2405,0.495,0.505,0.3836,0.3759,0.2405
37,attraction,B,0.3765,0.38,0.2435,0.4981,0.5019,0.38,0.3765,0.2435
37,compromise,A,0.3328,0.3248,0.3424,0.4744,0.5256,0.3328,0.3248,0.3424
37,compromise,B,0.2951,0.3748,0.3301,0.4861,0.5139,0.3748,0.2951,0.3301
38,attraction,A,0.3482,0.3624,0.2894,0.5052,0.4948,0.3482,0.3624,0.2894
38,attraction,B,0.3414,0.3522,0.3064,0.52,0.48,0.3522,0.3414,0.3064
38,compromise,A,0.3626,0.3578,0.2796,0.4892,0.5108,0.3626,0.3578,0.2796
38,compromise,B,0.3377,0.3725,0.2898,0.5041,0.4959,0.3725,0.3377,0.2898
39,attraction,A,0.3239,0.3777,0.2984,0.4758,0.5242,0.3239,0.3777,0.2984
39,attraction,B,0.3067,0.352,0.3413,0.4578,0.5422,0.352,0.3067,0.3413
39,compromise,A,0.3616,0.3497,0.2887,0.4735,0.5265,0.3616,0.3497,0.2887
39,compromise,B,0.3156,0.3066,0.3777,0.439,0.561,0.3066,0.3156,0.3777
41,attraction,A,0.3097,0.4169,0.2734,0.5253,0.4747,0.3097,0.4169,0.2734
41,attraction,B,0.2744,0.3793,0.3463,0.5243,0.4757,0.3793,0.2744,0.3463
41,compromise,A,0.369,0.3693,0.2617,0.5156,0.4844,0.369,0.3693,0.2617
41,compromise,B,0.2724,0.356,0.3716,0.5595,0.4405,0.356,0.2724,0.3716
42,attraction,A,0.3808,0.3242,0.295,0.5101,0.4899,0.3808,0.3242,0.295
42,attraction,B,0.3355,0.3402,0.3243,0.5259,0.4741,0.3402,0.3355,0.3243
42,compromise,A,0.3912,0.3321,0.2767,0.4836,0.5164,0.3912,0.3321,0.2767
42,compromise,B,0.3269,0.3659,0.3071,0.5197,0.4803,0.3659,0.3269,0.3071
43,attraction,A,0.2606,0.4423,0.2971,0.4816,0.5184,0.2606,0.4423,0.2971
43,attraction,B,0.2396,0.4092,0.3512,0.4677,0.5323,0.4092,0.2396,0.3512
43,compromise,A,0.289,0.4231,0.288,0.4025,0.5975,0.289,0.4231,0.288
43,compromise,B,0.2255,0.3212,0.4533,0.4832,0.5168,0.3212,0.2255,0.4533
