,subject,trial,n_between-alt-diff,n_between-alt-same,n_within-alt,payne_index,payne_index_relaxed,n_dist0,n_dist1,n_dist2,n_diagonal,n_horizontal,n_vertical,n_competitor_decoy,n_target_competitor,n_target_decoy,within-alternative
2562,11,90,3.0,4.0,2.0,-0.3333333333333333,-0.5555555555555556,2.0,7.0,0.0,4.0,3.0,2.0,2.0,0.0,5.0,2.0
2563,11,91,0.0,9.0,9.0,0.0,0.0,9.0,7.0,2.0,0.0,9.0,9.0,3.0,2.0,4.0,9.0
2564,11,92,2.0,1.0,5.0,0.6666666666666666,0.25,5.0,3.0,0.0,1.0,2.0,5.0,0.0,1.0,2.0,5.0
2565,11,93,3.0,5.0,4.0,-0.1111111111111111,-0.3333333333333333,4.0,7.0,1.0,4.0,4.0,4.0,1.0,1.0,6.0,4.0
2566,11,94,5.0,1.0,5.0,0.6666666666666666,-0.09090909090909091,5.0,6.0,0.0,1.0,5.0,5.0,6.0,0.0,0.0,5.0
2567,11,95,3.0,3.0,5.0,0.25,-0.09090909090909091,5.0,6.0,0.0,3.0,3.0,5.0,0.0,4.0,2.0,5.0
2568,11,96,3.0,1.0,5.0,0.6666666666666666,0.1111111111111111,5.0,4.0,0.0,1.0,3.0,5.0,4.0,0.0,0.0,5.0
2569,11,97,8.0,5.0,2.0,-0.42857142857142855,-0.7333333333333333,2.0,12.0,1.0,4.0,9.0,2.0,7.0,5.0,1.0,2.0
2570,11,98,3.0,6.0,4.0,-0.2,-0.38461538461538464,4.0,7.0,2.0,4.0,5.0,4.0,2.0,3.0,4.0,4.0
2571,11,99,4.0,10.0,3.0,-0.5384615384615384,-0.6470588235294118,3.0,14.0,0.0,4.0,10.0,3.0,6.0,8.0,0.0,3.0
2572,11,100,3.0,3.0,4.0,0.14285714285714285,-0.2,4.0,5.0,1.0,2.0,4.0,4.0,5.0,0.0,0.0,5.0
2573,11,101,4.0,2.0,1.0,-0.3333333333333333,-0.7142857142857143,1.0,6.0,0.0,2.0,4.0,1.0,4.0,2.0,0.0,1.0
2574,11,102,1.0,3.0,3.0,0.0,-0.14285714285714285,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0
2575,11,103,15.0,12.0,13.0,0.04,-0.35,13.0,25.0,2.0,8.0,19.0,13.0,2.0,11.0,14.0,13.0
2576,11,104,1.0,1.0,1.0,0.0,-0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2577,11,105,1.0,7.0,4.0,-0.2727272727272727,-0.3333333333333333,4.0,7.0,1.0,2.0,6.0,4.0,5.0,1.0,2.0,4.0
2578,11,106,1.0,3.0,1.0,-0.5,-0.6,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0
2579,11,107,4.0,6.0,4.0,-0.2,-0.42857142857142855,4.0,10.0,0.0,6.0,4.0,4.0,2.0,8.0,0.0,4.0
2580,11,108,2.0,4.0,5.0,0.1111111111111111,-0.09090909090909091,5.0,3.0,3.0,2.0,4.0,5.0,2.0,3.0,1.0,5.0
2581,11,109,4.0,2.0,10.0,0.6666666666666666,0.25,10.0,6.0,0.0,2.0,4.0,10.0,5.0,0.0,0.0,11.0
2582,11,110,5.0,0.0,2.0,1.0,-0.42857142857142855,2.0,5.0,0.0,2.0,3.0,2.0,3.0,2.0,0.0,2.0
2583,11,111,10.0,6.0,8.0,0.14285714285714285,-0.3333333333333333,8.0,14.0,2.0,4.0,12.0,8.0,2.0,4.0,10.0,8.0
2584,11,112,5.0,4.0,4.0,0.0,-0.38461538461538464,4.0,7.0,2.0,4.0,5.0,4.0,3.0,2.0,4.0,4.0
2585,11,113,2.0,2.0,2.0,0.0,-0.3333333333333333,2.0,4.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
2586,11,114,0.0,8.0,5.0,-0.23076923076923078,-0.23076923076923078,5.0,8.0,0.0,0.0,8.0,5.0,3.0,0.0,5.0,5.0
2587,11,115,0.0,2.0,3.0,0.2,0.2,3.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,3.0
2588,11,116,3.0,0.0,2.0,1.0,-0.2,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
2589,11,117,0.0,7.0,2.0,-0.5555555555555556,-0.5555555555555556,2.0,5.0,2.0,0.0,7.0,2.0,2.0,3.0,2.0,2.0
2590,11,118,0.0,3.0,1.0,-0.5,-0.5,1.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0
2591,11,119,3.0,0.0,3.0,1.0,0.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0
2592,11,120,2.0,3.0,3.0,0.0,-0.25,3.0,5.0,0.0,3.0,2.0,3.0,0.0,1.0,4.0,3.0
2593,11,121,1.0,0.0,2.0,1.0,0.3333333333333333,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0
2594,11,122,1.0,2.0,2.0,0.0,-0.2,2.0,3.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0
2595,11,123,3.0,1.0,2.0,0.3333333333333333,-0.3333333333333333,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
2596,11,124,6.0,1.0,5.0,0.6666666666666666,-0.16666666666666666,5.0,3.0,4.0,5.0,2.0,5.0,2.0,1.0,4.0,5.0
2597,11,125,3.0,1.0,2.0,0.3333333333333333,-0.3333333333333333,2.0,3.0,1.0,0.0,4.0,2.0,0.0,1.0,3.0,2.0
2598,11,126,5.0,3.0,1.0,-0.5,-0.7777777777777778,1.0,8.0,0.0,3.0,5.0,1.0,4.0,0.0,0.0,5.0
2599,11,127,1.0,5.0,7.0,0.16666666666666666,0.07692307692307693,7.0,5.0,1.0,1.0,5.0,7.0,5.0,0.0,0.0,8.0
2600,11,128,1.0,2.0,5.0,0.42857142857142855,0.25,5.0,3.0,0.0,1.0,2.0,5.0,0.0,1.0,2.0,5.0
2601,11,129,1.0,4.0,2.0,-0.3333333333333333,-0.42857142857142855,2.0,5.0,0.0,1.0,4.0,2.0,0.0,2.0,3.0,2.0
2602,11,130,2.0,1.0,1.0,0.0,-0.5,1.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0
2603,11,131,3.0,3.0,3.0,0.0,-0.3333333333333333,3.0,5.0,1.0,3.0,3.0,3.0,1.0,4.0,1.0,3.0
2604,11,132,1.0,2.0,1.0,-0.3333333333333333,-0.5,1.0,3.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0
2605,11,133,2.0,5.0,4.0,-0.1111111111111111,-0.2727272727272727,4.0,5.0,2.0,3.0,4.0,4.0,2.0,4.0,1.0,4.0
