,subject,block,trial,effect,target,key,choice,choice_tcd,rt,pA,pB,pC,mA,mB,mC,pos_A,pos_B,pos_C,pA_top,pB_top,pC_top
61,41,1,62,filler,,M,C,,9230.0,0.31,0.38,0.85,32,26,11,2,0,1,False,True,True
62,41,1,63,compromise,B,R,B,target,9160.0,0.72,0.62,0.58,9,14,22,0,2,1,True,True,False
63,41,1,64,attraction,B,L,B,target,7790.0,0.75,0.65,0.63,9,14,13,2,0,1,True,False,False
64,41,1,65,filler,,R,C,,15020.0,0.27,0.47,0.86,37,21,11,1,0,2,True,True,False
65,41,1,66,compromise,A,R,A,target,7540.0,0.78,0.68,0.88,10,15,7,2,0,1,False,True,True
66,41,1,67,compromise,B,M,B,target,7120.0,0.72,0.68,0.58,10,14,22,0,1,2,True,True,False
67,41,1,68,attraction,B,M,A,competitor,4650.0,0.78,0.62,0.6,10,15,14,1,2,0,True,True,True
68,41,1,69,attraction,A,L,B,competitor,7290.0,0.78,0.62,0.76,9,15,8,2,0,1,True,True,False
69,41,1,70,compromise,A,M,A,target,6630.0,0.75,0.62,0.88,10,15,7,1,0,2,True,True,True
70,41,1,71,compromise,A,L,C,decoy,13100.0,0.78,0.68,0.85,9,15,7,1,2,0,False,False,False
71,41,1,72,attraction,B,L,B,target,6780.0,0.78,0.62,0.6,9,15,14,2,0,1,False,False,False
72,41,1,73,attraction,A,L,B,competitor,2900.0,0.72,0.65,0.7,9,15,8,1,0,2,True,False,True
73,41,1,74,attraction,A,L,B,competitor,6470.0,0.72,0.65,0.7,9,14,8,1,0,2,False,True,True
74,41,1,75,compromise,B,R,B,target,6460.0,0.72,0.68,0.52,10,15,22,1,2,0,False,False,True
75,41,2,76,filler,,R,C,,7310.0,0.32,0.6,0.78,31,16,12,0,1,2,False,True,True
76,41,2,77,attraction,B,M,A,competitor,2770.0,0.75,0.68,0.66,11,14,13,1,2,0,False,True,False
77,41,2,78,compromise,B,R,B,target,5110.0,0.78,0.62,0.55,12,14,33,0,2,1,False,False,False
78,41,2,79,filler,,L,B,,7930.0,0.31,0.38,0.85,32,26,11,2,0,1,False,True,False
79,41,2,80,attraction,A,M,B,competitor,4780.0,0.78,0.68,0.76,11,15,10,0,1,2,False,False,False
80,41,2,81,compromise,B,M,A,competitor,4850.0,0.75,0.65,0.55,12,14,32,1,0,2,True,False,False
81,41,2,82,compromise,A,R,B,competitor,7270.0,0.75,0.62,0.88,12,15,9,0,2,1,True,True,True
82,41,2,83,filler,,L,A,,6080.0,0.16,0.46,0.87,62,21,11,0,1,2,False,True,False
83,41,2,84,filler,,M,B,,12670.0,0.27,0.47,0.86,37,21,11,2,1,0,False,False,True
84,41,2,85,attraction,A,M,B,competitor,4070.0000000000005,0.72,0.65,0.7,11,15,10,0,1,2,True,False,True
85,41,2,86,compromise,B,R,B,target,5150.0,0.72,0.65,0.52,12,15,32,0,2,1,False,True,True
86,41,2,87,attraction,A,R,B,competitor,3510.0,0.75,0.65,0.73,12,14,11,0,2,1,False,True,True
87,41,2,88,attraction,A,R,A,target,6210.0,0.72,0.65,0.7,11,14,10,2,0,1,True,True,True
88,41,2,89,compromise,B,R,B,target,9360.0,0.78,0.65,0.52,12,14,32,0,2,1,True,True,True
89,41,2,90,attraction,A,L,B,competitor,5340.0,0.78,0.62,0.76,11,15,10,1,0,2,True,False,False
90,41,2,91,compromise,B,M,B,target,6150.0,0.75,0.62,0.58,11,15,32,0,1,2,False,False,False
91,41,2,92,attraction,B,L,B,target,6050.0,0.78,0.65,0.63,12,15,14,2,0,1,False,False,False
92,41,2,93,compromise,A,M,B,competitor,5200.0,0.78,0.68,0.85,11,15,9,0,1,2,True,False,False
93,41,2,94,attraction,B,M,A,competitor,2690.0,0.78,0.62,0.6,11,15,14,1,0,2,False,True,True
94,41,2,95,attraction,A,R,C,decoy,4250.0,0.72,0.65,0.7,12,15,11,0,1,2,True,False,False
95,41,2,96,attraction,B,R,B,target,3740.0,0.78,0.62,0.6,11,14,13,1,2,0,True,True,False
96,41,2,97,compromise,A,R,A,target,3970.0,0.75,0.65,0.82,12,15,9,2,1,0,True,True,False
97,41,2,98,attraction,A,M,A,target,3410.0,0.75,0.65,0.73,12,15,11,1,0,2,True,False,False
98,41,2,99,compromise,B,M,C,decoy,3140.0,0.72,0.65,0.58,11,15,32,0,2,1,False,False,True
99,41,2,100,compromise,B,L,B,target,4170.0,0.72,0.65,0.55,11,15,33,1,0,2,True,True,False
100,41,2,101,attraction,A,R,B,competitor,5560.0,0.78,0.68,0.76,12,15,11,0,2,1,False,False,False
101,41,2,102,attraction,B,M,B,target,3740.0,0.75,0.65,0.63,11,14,13,0,1,2,True,True,False
102,41,2,103,attraction,B,R,B,target,2470.0,0.72,0.68,0.66,12,14,13,1,2,0,True,True,True
103,41,2,104,compromise,B,R,C,decoy,2620.0,0.72,0.68,0.52,12,15,33,1,0,2,False,True,True
104,41,2,105,compromise,A,M,B,competitor,2790.0,0.75,0.62,0.88,11,15,10,2,1,0,False,False,True
105,41,2,106,compromise,A,L,A,target,2400.0,0.72,0.68,0.82,12,15,9,0,1,2,True,True,True
106,41,2,107,compromise,B,M,B,target,3650.0,0.72,0.68,0.55,11,14,33,0,1,2,False,False,True
107,41,2,108,compromise,B,L,C,decoy,3960.0,0.72,0.62,0.55,12,14,33,2,1,0,False,False,False
108,41,2,109,attraction,B,R,B,target,6350.0,0.75,0.62,0.6,11,15,14,1,2,0,True,False,False
109,41,2,110,compromise,A,M,C,decoy,6410.0,0.75,0.65,0.85,12,15,10,2,0,1,True,True,True
110,41,2,111,attraction,B,M,B,target,4530.0,0.78,0.65,0.63,12,15,14,2,1,0,False,True,True
111,41,2,112,filler,,R,C,,3490.0,0.29,0.42,0.72,34,23,13,0,1,2,True,False,False
112,41,2,113,attraction,A,M,B,competitor,3750.0,0.78,0.62,0.76,12,14,11,0,1,2,False,False,False
113,41,2,114,attraction,B,M,B,target,2210.0,0.78,0.68,0.66,11,14,13,0,1,2,False,True,False
114,41,2,115,compromise,B,L,B,target,3040.0,0.75,0.68,0.55,11,14,32,2,0,1,False,False,False
115,41,2,116,attraction,B,R,B,target,3750.0,0.78,0.65,0.63,11,15,14,1,2,0,True,False,True
116,41,2,117,attraction,B,M,B,target,6970.0,0.72,0.62,0.6,12,15,14,2,1,0,False,True,False
117,41,2,118,compromise,B,M,B,target,3950.0,0.72,0.62,0.55,12,14,33,2,1,0,False,True,True
118,41,2,119,compromise,A,M,C,decoy,2890.0,0.75,0.68,0.88,11,15,10,2,0,1,False,False,True
119,41,2,120,attraction,A,M,A,target,3280.0,0.75,0.65,0.73,12,14,11,1,0,2,False,False,True
120,41,2,121,compromise,A,M,B,competitor,3060.0,0.78,0.62,0.85,11,15,9,2,1,0,False,True,True
121,41,2,122,compromise,B,R,B,target,4570.0,0.72,0.68,0.58,12,14,33,0,2,1,True,False,True
122,41,2,123,attraction,A,R,A,target,2530.0,0.72,0.68,0.7,11,14,10,2,1,0,False,True,True
123,41,2,124,compromise,A,M,B,competitor,3070.0,0.78,0.65,0.82,12,14,9,2,1,0,True,True,False
124,41,2,125,filler,,M,C,,6500.0,0.24,0.37,0.76,41,27,13,0,2,1,True,True,True
125,41,2,126,compromise,A,L,B,competitor,5460.0,0.78,0.62,0.85,12,14,9,2,0,1,False,True,False
126,41,2,127,attraction,A,M,B,competitor,4920.0,0.75,0.65,0.73,11,15,10,2,1,0,True,True,False
127,41,2,128,compromise,B,M,B,target,6920.0,0.72,0.62,0.58,11,14,33,0,1,2,True,True,False
128,41,2,129,attraction,A,M,B,competitor,2730.0,0.72,0.65,0.7,11,15,10,0,1,2,False,False,False
129,41,2,130,attraction,B,M,B,target,2470.0,0.78,0.62,0.6,12,15,14,2,1,0,True,True,True
130,41,2,131,compromise,A,L,B,competitor,3970.0,0.78,0.68,0.88,12,15,9,2,0,1,True,True,False
