subject,effect,target_alternative,A,B,C,competitor,decoy,target,rst
33,compromise,B,0.3958333333333333,0.1875,0.4166666666666667,0.3958333333333333,0.4166666666666667,0.1875,0.32142857142857145
34,attraction,A,0.5833333333333334,0.4166666666666667,0.0,0.4166666666666667,0.0,0.5833333333333334,0.5833333333333334
34,attraction,B,0.375,0.625,0.0,0.375,0.0,0.625,0.625
34,compromise,A,0.4583333333333333,0.4791666666666667,0.0625,0.4791666666666667,0.0625,0.4583333333333333,0.4888888888888889
34,compromise,B,0.041666666666666664,0.20833333333333334,0.75,0.041666666666666664,0.75,0.20833333333333334,0.8333333333333334
35,attraction,A,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334
35,attraction,B,0.20833333333333334,0.7916666666666666,0.0,0.20833333333333334,0.0,0.7916666666666666,0.7916666666666666
35,compromise,A,0.4166666666666667,0.5416666666666666,0.041666666666666664,0.5416666666666666,0.041666666666666664,0.4166666666666667,0.4347826086956522
35,compromise,B,0.5416666666666666,0.4166666666666667,0.041666666666666664,0.5416666666666666,0.041666666666666664,0.4166666666666667,0.4347826086956522
36,attraction,A,0.4166666666666667,0.5833333333333334,0.0,0.5833333333333334,0.0,0.4166666666666667,0.4166666666666667
36,attraction,B,0.4583333333333333,0.5208333333333334,0.020833333333333332,0.4583333333333333,0.020833333333333332,0.5208333333333334,0.5319148936170213
36,compromise,A,0.5416666666666666,0.4375,0.020833333333333332,0.4375,0.020833333333333332,0.5416666666666666,0.5531914893617021
36,compromise,B,0.3958333333333333,0.5,0.10416666666666667,0.3958333333333333,0.10416666666666667,0.5,0.5581395348837209
37,attraction,A,0.5,0.5,0.0,0.5,0.0,0.5,0.5
37,attraction,B,0.6875,0.3125,0.0,0.6875,0.0,0.3125,0.3125
37,compromise,A,0.375,0.25,0.375,0.25,0.375,0.375,0.6
37,compromise,B,0.25,0.375,0.375,0.25,0.375,0.375,0.6
38,attraction,A,0.625,0.375,0.0,0.375,0.0,0.625,0.625
38,attraction,B,0.5625,0.4375,0.0,0.5625,0.0,0.4375,0.4375
38,compromise,A,0.7708333333333334,0.1875,0.041666666666666664,0.1875,0.041666666666666664,0.7708333333333334,0.8043478260869565
38,compromise,B,0.4791666666666667,0.4791666666666667,0.041666666666666664,0.4791666666666667,0.041666666666666664,0.4791666666666667,0.5
39,attraction,A,0.25,0.7291666666666666,0.020833333333333332,0.7291666666666666,0.020833333333333332,0.25,0.25531914893617025
39,attraction,B,0.25,0.5208333333333334,0.22916666666666666,0.25,0.22916666666666666,0.5208333333333334,0.6756756756756757
39,compromise,A,0.20833333333333334,0.6875,0.10416666666666667,0.6875,0.10416666666666667,0.20833333333333334,0.23255813953488372
39,compromise,B,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.08333333333333333,0.8333333333333334,0.08333333333333333,0.5
41,attraction,A,0.25,0.7291666666666666,0.020833333333333332,0.7291666666666666,0.020833333333333332,0.25,0.25531914893617025
41,attraction,B,0.14583333333333334,0.7916666666666666,0.0625,0.14583333333333334,0.0625,0.7916666666666666,0.8444444444444444
41,compromise,A,0.3125,0.5208333333333334,0.16666666666666666,0.5208333333333334,0.16666666666666666,0.3125,0.375
41,compromise,B,0.08333333333333333,0.4583333333333333,0.4583333333333333,0.08333333333333333,0.4583333333333333,0.4583333333333333,0.8461538461538461
42,attraction,A,0.5833333333333334,0.3958333333333333,0.020833333333333332,0.3958333333333333,0.020833333333333332,0.5833333333333334,0.5957446808510638
42,attraction,B,0.16666666666666666,0.8125,0.020833333333333332,0.16666666666666666,0.020833333333333332,0.8125,0.8297872340425532
42,compromise,A,0.4166666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.4166666666666667,0.5882352941176471
42,compromise,B,0.2916666666666667,0.25,0.4583333333333333,0.2916666666666667,0.4583333333333333,0.25,0.46153846153846145
43,attraction,A,0.041666666666666664,0.9583333333333334,0.0,0.9583333333333334,0.0,0.041666666666666664,0.041666666666666664
43,attraction,B,0.0625,0.8125,0.125,0.0625,0.125,0.8125,0.9285714285714286
43,compromise,A,0.041666666666666664,0.9375,0.020833333333333332,0.9375,0.020833333333333332,0.041666666666666664,0.0425531914893617
43,compromise,B,0.041666666666666664,0.10416666666666667,0.8541666666666666,0.041666666666666664,0.8541666666666666,0.10416666666666667,0.7142857142857143
